#,n,l,m,f.mean,f.sdev
#,u0: 37289.47137978341,type: wavelet,uMax: 37289.47137978341,nMax: 0,ellMax: 0
,0,0,0,0.000881998517316963,6.195478911804832e-07
,1,0,0,0.0020446117764552256,1.8642740763358654e-06
,2,0,0,0.0035166571320970467,3.961555706184779e-06
,3,0,0,7.77061896164638e-05,2.1805909420109153e-07
,4,0,0,0.002024841199387723,3.2827286091616205e-06
,5,0,0,0.0006820270441345192,2.0709700155245518e-06
,6,0,0,5.7984265636533304e-05,3.115085341480095e-07
,7,0,0,1.1034072988234498e-05,9.409631834218614e-08
,8,0,0,0.0014506564500706683,1.8504104924617274e-06
,9,0,0,0.0009600032067069784,5.367461808125929e-06
,10,0,0,0.0007001384168682974,2.8928785962276263e-06
,11,0,0,0.00013374000220565046,9.98656944598789e-07
,12,0,0,2.0310036160594796e-05,4.1566613821207713e-07
,13,0,0,-3.6084460769063395e-06,1.9129203610503308e-07
,14,0,0,2.0621817220818487e-06,1.1575054776831904e-07
,15,0,0,6.014748614165748e-06,7.84614477880137e-08
,16,0,0,-0.00015574293606389269,7.614026805396793e-07
,17,0,0,-0.0005743053287042536,3.1853524486999214e-06
,18,0,0,0.0006749121282185861,5.317123722562345e-06
,19,0,0,6.0955193432386335e-05,4.893624292247936e-06
,20,0,0,0.0004481779055157623,3.725424386603968e-06
,21,0,0,0.00010669623528539171,1.5692035362480077e-06
,22,0,0,3.424726972451773e-05,1.1084133057051451e-06
,23,0,0,4.1943656001434267e-05,5.892367531052607e-07
,24,0,0,5.513725955655005e-07,4.1672583878669396e-07
,25,0,0,1.9733057090839582e-05,3.2408848016708035e-07
,26,0,0,-3.013464514049817e-07,1.8592248353256876e-07
,27,0,0,6.436867566037965e-06,1.905313057361792e-07
,28,0,0,6.322928466582681e-06,1.1940691581867777e-07
,29,0,0,-3.458636653660236e-06,9.907995438803436e-08
,30,0,0,6.087972706724319e-06,8.782895044795233e-08
,31,0,0,9.818657021626e-07,6.03579716561635e-08
,32,0,0,-0.00018831116473967094,2.6444977643427945e-07
,33,0,0,0.0004082171097406213,1.756982079303149e-06
,34,0,0,0.00026074134312044,2.048706911897466e-06
,35,0,0,-0.00023566299401657758,5.46481256856926e-06
,36,0,0,0.0004363475520569465,6.5963770070885075e-06
,37,0,0,0.00011259678096460057,4.9496049431944235e-06
,38,0,0,7.886838892263645e-05,5.350177032263956e-06
,39,0,0,3.129275843894981e-05,5.510233425368411e-06
,40,0,0,0.00018787833347397353,4.2481005497748965e-06
,41,0,0,0.00011640712693868663,2.6219039038766216e-06
,42,0,0,5.8314007289597404e-05,1.9352161116154294e-06
,43,0,0,9.612988917063732e-06,1.2091916865092696e-06
,44,0,0,-3.435431807893895e-08,1.332160626249221e-06
,45,0,0,1.5811174324877858e-05,9.9540746301569e-07
,46,0,0,2.319145789374777e-05,7.818048643289652e-07
,47,0,0,3.071799091893565e-06,4.494797955637284e-07
,48,0,0,1.4924954637529639e-06,4.54852954929071e-07
,49,0,0,-2.3173031544050537e-06,4.3489059169738216e-07
,50,0,0,5.8215348130392295e-06,3.926567413012257e-07
,51,0,0,5.935198929722589e-06,2.7190021902161437e-07
,52,0,0,3.386836178684585e-06,1.9445149440242744e-07
,53,0,0,-3.008176426684174e-06,1.8283417995623688e-07
,54,0,0,1.0029782507213731e-06,2.2610219661279363e-07
,55,0,0,2.3041922282716562e-06,1.7038738858070176e-07
,56,0,0,2.3509781462982616e-06,1.4264901538581445e-07
,57,0,0,1.5774118513662632e-06,9.665182333758704e-08
,58,0,0,-1.3095148111132478e-06,1.0167118168268548e-07
,59,0,0,-9.656149723092469e-07,1.216537666506125e-07
,60,0,0,2.010723598962637e-06,1.1445005741603154e-07
,61,0,0,1.2023143837215167e-06,6.74246217858837e-08
,62,0,0,7.956731716858833e-10,6.563762006706151e-08
,63,0,0,1.0279558195097496e-07,5.622149732129735e-08
,64,0,0,-2.4719324401866133e-05,4.1169470947620387e-08
,65,0,0,-0.00014299203156878875,6.121231135243312e-07
,66,0,0,-4.916995434062102e-06,1.5579313981697006e-06
,67,0,0,0.0002895263300686728,2.0749488798952857e-06
,68,0,0,0.00025304377818581645,1.7718654571023132e-06
,69,0,0,-7.275278957546852e-05,1.9734060923467805e-06
,70,0,0,-0.00018182062423102458,3.770896178462004e-06
,71,0,0,3.2435774720227786e-05,6.060317167034736e-06
,72,0,0,0.00018008344197326315,7.0296601955559225e-06
,73,0,0,0.00011537160451046715,5.462732749822064e-06
,74,0,0,3.645543652505191e-05,4.639195239596211e-06
